Use,UseNonUse,Slope,CoverDist,Roads,AllTrails
14,1,0,0,480,201
6,1,0,0,495,90
8,1,13,5,631,108
5,1,9,0,805,190
6,1,0,0,850,256
8,1,12,5,240,742
6,1,0,0,210,150
12,1,0,0,524,90
2,1,10,0,170,108
6,1,8,0,300,759
4,1,0,0,510,175
10,1,0,0,492,42
5,1,0,0,853,150
3,1,0,0,658,509
6,1,0,5,731,60
2,1,0,0,365,360
3,1,0,0,258,277
6,1,0,0,711,408
6,1,15,0,242,30
10,1,17,10,382,0
6,1,0,0,319,134
6,1,0,0,560,153
2,1,0,11,658,247
1,1,11,0,437,30
6,1,13,0,741,0
2,1,7,5,644,150
6,1,1,0,638,30
4,1,10,0,485,60
5,1,0,5,661,495
12,1,0,0,532,120
2,1,0,5,569,573
6,1,0,14,570,182
6,1,14,5,30,134
4,1,13,0,510,212
3,1,0,0,765,474
6,1,4,0,124,330
11,1,0,0,641,30
11,1,4,0,420,60
6,1,0,0,570,180
12,1,0,0,532,120
6,1,3,0,703,30
6,1,0,0,658,418
2,1,19,0,0,30
7,1,0,0,400,351
6,1,0,5,277,0
8,1,13,0,270,90
2,1,16,0,124,309
1,1,11,0,361,212
6,1,0,0,551,60
5,1,0,0,604,510
6,1,0,0,660,277
6,1,1,0,553,30
4,1,0,0,604,0
2,1,0,0,60,42
6,1,11,5,30,42
1,1,8,5,108,42
8,1,3,0,351,0
1,1,0,5,124,242
7,1,13,0,579,108
11,1,0,0,454,420
1,1,0,0,834,247
12,1,11,0,684,201
6,1,8,7,90,713
6,1,0,0,618,30
1,1,17,0,300,702
7,1,0,25,0,60
4,1,0,0,706,42
5,1,11,0,661,108
2,1,0,10,268,268
1,1,18,0,570,150
4,1,19,0,190,153
6,1,0,0,659,0
6,1,9,0,85,268
1,1,0,0,1026,210
6,1,9,0,376,228
6,1,10,0,95,570
4,1,3,5,366,108
6,1,1,11,295,277
4,1,0,30,630,300
13,1,2,0,693,0
5,1,11,0,258,108
6,1,0,0,553,514
5,1,9,0,421,182
15,1,23,0,30,0
13,1,3,32,277,85
1,1,0,0,497,175
12,1,25,5,0,30
6,1,0,0,424,390
7,1,0,0,390,607
3,1,0,14,541,365
